"109年08月04日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","6.61","108","11.05","1.34","109/1",
"1102","亞泥","7.42","108","8.91","0.96","109/1",
"1103","嘉泥","6.12","108","10.97","0.50","109/1",
"1104","環泥","5.88","108","10.83","0.63","109/1",
"1108","幸福","1.57","108","22.74","0.89","109/1",
"1109","信大","6.43","108","6.31","0.85","109/1",
"1110","東泥","0.61","108","-","1.12","109/1",
"1201","味全","6.60","108","39.51","1.63","109/1",
"1203","味王","3.34","108","15.60","1.41","109/1",
"1210","大成","4.76","108","15.31","2.17","109/1",
"1213","大飲","0.00","108","-","0.96","109/1",
"1215","卜蜂","5.99","108","12.30","2.30","109/1",
"1216","統一","3.56","108","21.94","3.57","109/1",
"1217","愛之味","0.00","108","60.25","0.65","109/1",
"1218","泰山","4.06","108","17.86","1.60","109/1",
"1219","福壽","2.04","108","14.45","1.51","109/1",
"1220","台榮","5.53","108","14.47","0.83","109/1",
"1225","福懋油","3.76","108","22.29","2.30","109/1",
"1227","佳格","4.29","108","17.33","3.26","109/1",
"1229","聯華","6.78","108","26.82","1.96","109/1",
"1231","聯華食","5.04","108","14.23","1.95","109/1",
"1232","大統益","4.22","108","19.27","5.02","109/2",
"1233","天仁","4.34","108","27.92","2.11","109/1",
"1234","黑松","5.40","108","15.99","0.70","109/1",
"1235","興泰","4.07","108","38.57","1.11","109/1",
"1236","宏亞","2.33","108","67.89","0.89","109/1",
"1256","鮮活果汁-KY","3.05","108","14.65","3.41","109/1",
"1301","台塑","5.67","108","17.17","1.59","109/1",
"1303","南亞","3.64","108","25.17","1.47","109/1",
"1304","台聚","4.37","108","9.87","0.66","109/1",
"1305","華夏","5.81","108","11.78","1.06","109/1",
"1307","三芳","3.99","108","18.39","0.99","109/1",
"1308","亞聚","6.49","108","11.30","0.96","109/1",
"1309","台達化","3.66","108","15.77","1.26","109/1",
"1310","台苯","6.80","108","32.67","1.19","109/1",
"1312","國喬","0.00","108","8.68","0.56","109/1",
"1313","聯成","2.13","108","-","0.66","109/1",
"1314","中石化","3.56","108","19.16","0.39","109/1",
"1315","達新","6.91","108","14.39","1.30","109/1",
"1316","上曜","0.00","108","-","1.28","109/1",
"1319","東陽","5.17","108","11.08","0.93","109/1",
"1321","大洋","0.00","108","18.78","1.30","109/1",
"1323","永裕","4.88","108","9.88","1.53","109/1",
"1324","地球","3.09","108","48.50","0.74","109/1",
"1325","恆大","0.16","108","106.61","8.57","109/1",
"1326","台化","5.67","108","23.67","1.27","109/1",
"1337","再生-KY","0.00","108","-","0.20","109/1",
"1338","廣華-KY","6.31","108","16.18","0.75","109/1",
"1339","昭輝","4.45","108","9.85","0.94","109/1",
"1340","勝悅-KY","0.00","108","-","0.28","109/1",
"1341","富林-KY","8.49","108","9.44","2.27","109/1",
"1402","遠東新","5.76","108","13.64","0.68","109/1",
"1409","新纖","4.80","108","11.80","0.67","109/1",
"1410","南染","3.01","108","31.37","2.01","109/1",
"1413","宏洲","0.00","108","-","0.93","109/1",
"1414","東和","3.02","108","55.25","0.48","109/1",
"1416","廣豐","0.00","108","-","0.63","109/1",
"1417","嘉裕","5.31","108","5.92","0.62","109/1",
"1418","東華","0.00","108","-","0.83","109/1",
"1419","新紡","2.31","108","31.76","1.65","109/1",
